Summary data collected by the Greenhouse Gas Reporting Program for 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Direct Emissions from Local Distribution Companies by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Local Distribution Companies,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005388,110071159221,FORT MORGAN CITY OF,CO,FORT MORGAN,CO,80701,710 E Railraod Ave,MORGAN COUNTY,40.248494,-103.79179,221210,"NN-LDC,W-LDC",555.45,0.7,554.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005285,110071160149,Fayetteville Public Utilities,TN,Fayetteville,TN,37334,408 College Street West,LINCOLN COUNTY,35.314962,-86.636076,221210,"NN-LDC,W-LDC",1583.65,1.9,1581.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011801,,Fountain Inn Natural Gas System,SC,Fountain Inn,SC,29644,100 S. Weston St,,34.69374364,-82.19857025,221210,"NN-LDC,W-LDC",1485.95,1.7,1484.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004706,110043815574,"Hope Gas, Inc.",WV,Jane Lew,WV,26378,179 Innovation Dr,HARRISON COUNTY,39.28413,-80.299985,221210,"NN-LDC,W-LDC",69420.1,109.1,69311,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007021,110071161140,Humboldt Utilities,TN,Humboldt,TN,38346,207 South 13th Ave.,GIBSON COUNTY,36.029533,-88.808073,221210,"NN-LDC,W-LDC",411.4,0.4,411,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002297,110071159514,Huntsville Utilities,AL,Huntsville,AL,35804,112 Spragins Street,MADISON COUNTY,34.73,-86.59,221210,"NN-LDC,W-LDC",7535.8,9.3,7526.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001251,110071159599,ILLINOIS GAS COMPANY,IL,OLNEY,IL,62450,1927 MILLER DR,RICHLAND COUNTY,38.703671,-88.086588,221210,"NN-LDC,W-LDC",1490.7,1.7,1489,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004210,110071160246,Indiana Gas Company,IN,Evansville,IN,47708,2111 NW Riverside Dr.,VANDERBURGH COUNTY,37.973424,-87.575423,221210,"NN-LDC,W-LDC",70460.8,84.8,70376,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002220,110071161718,Intermountain Gas Company,ID,Boise,ID,83709,555 S. Cole Road,ADA COUNTY,43.59906,-116.27417,221210,"NN-LDC,W-LDC",35060.5,116,34944.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002151,110071161778,Interstate Power & Light Gas Distribution,IA,Cedar Rapids,IA,52401,200 1st Street SE,LINN COUNTY,41.97704,-91.66872,221210,"NN-LDC,W-LDC",21371.2,25.7,21345.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003992,110071161040,Jackson Energy Authority,TN,Jackson,TN,38301,119 East College Street,MADISON COUNTY,35.61589,-88.81837,221210,"NN-LDC,W-LDC",3799.6,4.6,3795,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
